2,16/11/2018,4,48020,NO
4,31/05/2019,4,48953,SI
5,06/04/2019,4,28237,NO
11,23/10/2018,4,44941,NO
15,07/04/2019,4,46369,NO
27,07/01/2019,4,13758,SI
37,22/08/2018,4,38936,SI
38,02/07/2019,4,10064,NO
47,15/04/2019,4,12171,NO
66,22/10/2018,4,20436,SI
67,02/09/2018,4,42604,SI
76,04/03/2019,4,43797,NO
81,05/10/2018,4,21244,NO
86,18/01/2019,4,8223,SI
90,12/03/2019,4,22904,NO
96,02/09/2018,4,45692,SI
101,17/09/2018,4,4914,SI
107,16/01/2019,4,24955,NO
111,16/01/2019,4,42685,SI
114,27/08/2018,4,24697,SI
115,12/07/2018,4,17424,SI
123,19/03/2019,4,8789,NO
124,25/06/2019,4,30947,SI
134,03/01/2019,4,6458,NO
138,20/03/2019,4,31596,NO
142,15/05/2019,4,10646,SI
143,25/01/2019,4,38764,NO
147,12/03/2019,4,21651,NO
150,27/04/2019,4,22532,NO
151,14/06/2019,4,38827,SI
153,28/04/2019,4,11256,NO
155,25/08/2018,4,43298,SI
167,05/08/2018,4,48747,NO
174,15/01/2019,4,28266,NO
175,07/11/2018,4,41604,NO
177,18/04/2019,4,12059,SI
179,19/11/2018,4,17131,SI
187,24/12/2018,4,40862,SI
188,29/11/2018,4,38864,SI
191,10/06/2019,4,6250,NO
192,16/03/2019,4,46168,SI
198,07/02/2019,4,22622,NO
204,23/07/2018,4,9300,SI
210,04/08/2018,4,20466,SI
211,03/09/2018,4,35243,NO
217,27/08/2018,4,31452,NO
218,06/06/2019,4,21540,NO
219,01/03/2019,4,33823,SI
225,06/10/2018,4,22912,SI
226,15/12/2018,4,29622,NO
230,16/05/2019,4,28775,SI
232,05/03/2019,4,39692,NO
236,30/10/2018,4,13209,NO
237,08/05/2019,4,30535,SI
240,11/11/2018,4,49339,SI
242,11/01/2019,4,11520,NO
249,18/01/2019,4,30973,SI
263,16/01/2019,4,3968,SI
264,28/05/2019,4,42908,NO
267,05/08/2018,4,12886,SI
281,27/07/2018,4,15661,SI
286,29/08/2018,4,28406,SI
296,07/01/2019,4,38098,SI
302,14/09/2018,4,23958,NO
311,16/08/2018,4,17854,NO
315,21/07/2018,4,39003,NO
318,26/07/2018,4,19341,NO
320,18/10/2018,4,32384,SI
330,06/08/2018,4,4993,SI
339,05/08/2018,4,18302,SI
350,03/04/2019,4,13624,NO
356,01/10/2018,4,31303,NO
368,19/08/2018,4,9613,SI
375,29/03/2019,4,8051,SI
393,25/07/2018,4,12802,SI
395,07/06/2019,4,20041,SI
398,11/07/2018,4,25061,NO
401,13/06/2019,4,8226,NO
404,12/05/2019,4,27938,NO
405,02/04/2019,4,41830,NO
409,19/08/2018,4,34671,SI
413,10/07/2018,4,25606,NO
418,10/04/2019,4,28700,SI
423,01/11/2018,4,20705,NO
428,01/01/2019,4,12081,NO
435,03/03/2019,4,10523,NO
437,31/03/2019,4,3969,SI
438,16/01/2019,4,44591,SI
463,31/08/2018,4,46235,SI
466,16/01/2019,4,4406,NO
477,22/09/2018,4,41181,NO
478,18/06/2019,4,35468,NO
490,06/08/2018,4,15442,SI
497,20/05/2019,4,24861,SI
